net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,industries,self_made,cpi_country,cpi_change_country,gdp_country,life_expectancy_country
8.9,Finn Rausing,68,Male,Sweden,United Kingdom,London,Food & Beverage,FALSE,119.62,1.7,2.827113185,81.3
8.9,Jorn Rausing,63,Male,Sweden,United Kingdom,Surrey,Food & Beverage,FALSE,119.62,1.7,2.827113185,81.3
8.9,Kirsten Rausing,70,Female,Sweden,United Kingdom,Newmarket,Food & Beverage,FALSE,119.62,1.7,2.827113185,81.3
8.8,Tatyana Bakalchuk,47,Female,Russia,Russia,Moscow region,Fashion & Retail,TRUE,180.75,4.5,1.699876579,72.7
8.8,John Doerr,71,Male,United States,United States,Woodside,Technology,TRUE,117.24,7.5,21.4277,78.5
8.8,Richard Liu,49,Male,China,China,Beijing,Technology,TRUE,125.08,2.9,19.91,77
8.8,Dustin Moskovitz,38,Male,United States,United States,San Francisco,Technology,TRUE,117.24,7.5,21.4277,78.5
8.8,Pierre Omidyar,55,Male,United States,United States,Honolulu,Technology,TRUE,117.24,7.5,21.4277,78.5
8.8,Pei Zhenhua,64,Male,China,China,Ningde,Energy,TRUE,125.08,2.9,19.91,77
8.8,Carrie Perrodo & family,72,Female,France,United Kingdom,London,Energy,FALSE,119.62,1.7,2.827113185,81.3
8.7,Chen Jianhua,52,Male,China,China,Wujiang,Manufacturing,TRUE,125.08,2.9,19.91,77
8.7,Michael Otto,79,Male,Germany,Germany,Hamburg,Fashion & Retail,FALSE,112.85,1.4,3.845630031,80.9
8.6,Leon Black,71,Male,United States,United States,New York,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
8.6,Graeme Hart,67,Male,New Zealand,New Zealand,Auckland,Finance & Investments,TRUE,114.24,1.6,0.206928766,81.9
8.6,Ravi Jaipuria,68,Male,India,India,Delhi,Food & Beverage,FALSE,180.44,7.7,2.611,69.4
8.6,Hasso Plattner & family,79,Male,Germany,Germany,Heidelberg,Technology,TRUE,112.85,1.4,3.845630031,80.9
8.6,Carlos Alberto Sicupira & family,75,Male,Brazil,Switzerland,St. Gallen,Food & Beverage,TRUE,99.55,0.4,0.703082435,83.6
8.6,Manuel Villar,73,Male,Philippines,Philippines,Manila,Real Estate,TRUE,129.61,2.5,0.376795509,71.1
8.6,Andreas von Bechtolsheim & family,67,Male,Germany,United States,Palo Alto,Technology,TRUE,117.24,7.5,21.4277,78.5
8.5,"Chase Coleman, III.",47,Male,United States,United States,New York,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
8.5,Ann Walton Kroenke,74,Female,United States,United States,Electra,Fashion & Retail,FALSE,117.24,7.5,21.4277,78.5
